Model                                            , Provider    , Tags            , Input $/1M, Output $/1M, Context, Latency(s), Throughput(t/s), Tools, Structured
XiaomiMiMo/MiMo-V2-Flash                         , novita      ,                 , 0.10      , 0.30       , 262144 , 0.67      , 64             , Yes  , Yes
aisingapore/Gemma-SEA-LION-v4-27B-IT             , publicai    ,                 , 0.20      , 0.40       , -      , 2.84      , 45             , No   , Yes
aisingapore/Qwen-SEA-LION-v4-32B-IT              , publicai    ,                 , 0.25      , 0.50       , -      , 2.10      , 43             , Yes  , Yes
allenai/Molmo2-8B                                , publicai    ,                 , -         , -          , -      , 2.02      , 53             , No   , No
allenai/Olmo-3-7B-Instruct                       , publicai    ,                 , 0.10      , 0.20       , -      , -         , -              , Yes  , No
allenai/Olmo-3.1-32B-Instruct                    , publicai    ,                 , 0.20      , 0.60       , -      , 2.04      , 50             , Yes  , Yes
alpindale/WizardLM-2-8x22B                       , novita      ,                 , 0.62      , 0.62       , 65535  , 0.40      , 53             , No   , No
arcee-ai/Trinity-Mini                            , together    ,                 , 0.05      , 0.15       , 128000 , 0.22      , 161            , Yes  , Yes
baidu/ERNIE-4.5-21B-A3B-PT                       , novita      ,                 , 0.07      , 0.28       , 120000 , 1.16      , 77             , No   , No
baidu/ERNIE-4.5-300B-A47B-Base-PT                , novita      ,                 , 0.28      , 1.10       , 123000 , 1.19      , 23             , No   , Yes
baidu/ERNIE-4.5-VL-28B-A3B-PT                    , novita      ,                 , 0.14      , 0.56       , 30000  , 0.67      , 79             , No   , No
baidu/ERNIE-4.5-VL-424B-A47B-Base-PT             , novita      ,                 , 0.42      , 1.25       , 123000 , 0.94      , 43             , No   , No
deepcogito/cogito-671b-v2.1                      , fireworks-ai,                 , -         , -          , 163840 , 0.28      , 42             , Yes  , No
deepcogito/cogito-671b-v2.1                      , together    , cheapest fastest, 1.25      , 1.25       , 163840 , 0.27      , 70             , No   , Yes
deepcogito/cogito-671b-v2.1-FP8                  , together    ,                 , 1.25      , 1.25       , 163840 , 0.25      , 70             , No   , Yes
deepcogito/cogito-v2-preview-llama-405B          , together    ,                 , 3.50      , 3.50       , 32768  , 1.78      , 25             , Yes  , Yes
deepseek-ai/DeepSeek-OCR                         , novita      ,                 , 0.03      , 0.03       , 8192   , 0.65      , 254            , No   , No
deepseek-ai/DeepSeek-Prover-V2-671B              , novita      ,                 , 0.70      , 2.50       , 160000 , 0.53      , 20             , No   , No
deepseek-ai/DeepSeek-R1                          , fireworks-ai,                 , -         , -          , -      , -         , -              , -    , -
deepseek-ai/DeepSeek-R1                          , hyperbolic  , cheapest        , 2.00      , 2.00       , 163840 , 0.77      , 48             , No   , No
deepseek-ai/DeepSeek-R1                          , novita      ,                 , 0.70      , 2.50       , 64000  , 1.22      , 28             , Yes  , No
deepseek-ai/DeepSeek-R1                          , sambanova   , fastest         , -         , -          , -      , 1.17      , 180            , Yes  , Yes
deepseek-ai/DeepSeek-R1                          , together    ,                 , 3.00      , 7.00       , 163840 , 0.59      , 52             , No   , Yes
deepseek-ai/DeepSeek-R1-0528                     , fireworks-ai,                 , 3.00      , 8.00       , 163840 , 1.07      , 85             , Yes  , No
deepseek-ai/DeepSeek-R1-0528                     , hyperbolic  ,                 , 3.00      , 3.00       , 163840 , 0.63      , 43             , No   , No
deepseek-ai/DeepSeek-R1-0528                     , novita      , cheapest        , 0.70      , 2.50       , 163840 , 2.76      , 28             , Yes  , No
deepseek-ai/DeepSeek-R1-0528                     , sambanova   , fastest         , 5.00      , 7.00       , 131072 , 2.54      , 147            , Yes  , Yes
deepseek-ai/DeepSeek-R1-0528                     , together    ,                 , 3.00      , 7.00       , 163840 , 0.72      , 46             , No   , Yes
deepseek-ai/DeepSeek-R1-Distill-Llama-70B        , groq        ,                 , -         , -          , -      , -         , -              , -    , -
deepseek-ai/DeepSeek-R1-Distill-Llama-70B        , novita      ,                 , 0.80      , 0.80       , 8192   , 1.56      , 37             , No   , No
deepseek-ai/DeepSeek-R1-Distill-Llama-70B        , nscale      , cheapest        , 0.75      , 0.75       , 131072 , 0.87      , 17             , No   , Yes
deepseek-ai/DeepSeek-R1-Distill-Llama-70B        , ovhcloud    ,                 , -         , -          , -      , -         , -              , -    , -
deepseek-ai/DeepSeek-R1-Distill-Llama-70B        , sambanova   , fastest         , 0.70      , 1.40       , 131072 , 3.58      , 145            , No   , No
deepseek-ai/DeepSeek-R1-Distill-Llama-70B        , scaleway    ,                 , -         , -          , -      , 0.60      , 25             , No   , Yes
deepseek-ai/DeepSeek-R1-Distill-Llama-8B         , novita      ,                 , -         , -          , -      , -         , -              , -    , -
deepseek-ai/DeepSeek-R1-Distill-Llama-8B         , nscale      ,                 , 0.05      , 0.05       , 131072 , 0.69      , 57             , No   , Yes
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B        , nscale      ,                 , 0.10      , 0.10       , 131072 , 0.77      , 142            , No   , No
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B         , novita      ,                 , -         , -          , -      , -         , -              , -    , -
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B         , nscale      ,                 , 0.30      , 0.30       , 131072 , 0.84      , 28             , No   , Yes
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B          , nscale      ,                 , 0.15      , 0.15       , 131072 , 0.95      , 65             , No   , No
deepseek-ai/DeepSeek-V3                          , fireworks-ai,                 , -         , -          , -      , -         , -              , -    , -
deepseek-ai/DeepSeek-V3                          , novita      ,                 , 0.40      , 1.30       , 64000  , 2.26      , 25             , Yes  , No
deepseek-ai/DeepSeek-V3                          , together    , cheapest fastest, 1.25      , 1.25       , 131072 , 0.73      , 45             , Yes  , Yes
deepseek-ai/DeepSeek-V3-0324                     , fireworks-ai,                 , -         , -          , -      , -         , -              , -    , -
deepseek-ai/DeepSeek-V3-0324                     , hyperbolic  ,                 , 1.25      , 1.25       , 163840 , 1.04      , 48             , Yes  , No
deepseek-ai/DeepSeek-V3-0324                     , novita      , cheapest        , 0.27      , 1.12       , 163840 , 2.13      , 37             , Yes  , Yes
deepseek-ai/DeepSeek-V3-0324                     , sambanova   , fastest         , 3.00      , 4.50       , 131072 , 1.51      , 171            , Yes  , Yes
deepseek-ai/DeepSeek-V3-0324                     , together    ,                 , 1.25      , 1.25       , 131072 , 1.18      , 47             , Yes  , Yes
deepseek-ai/DeepSeek-V3.1                        , fireworks-ai, fastest         , -         , -          , 163840 , 0.38      , 68             , Yes  , No
deepseek-ai/DeepSeek-V3.1                        , novita      , cheapest        , 0.27      , 1.00       , 131072 , 2.04      , 36             , Yes  , Yes
deepseek-ai/DeepSeek-V3.1                        , together    ,                 , 0.60      , 1.70       , 131072 , 1.36      , 45             , Yes  , Yes
deepseek-ai/DeepSeek-V3.1-Terminus               , novita      ,                 , 0.27      , 1.00       , 131072 , 0.92      , 36             , Yes  , Yes
deepseek-ai/DeepSeek-V3.2                        , fireworks-ai, fastest         , -         , -          , 163840 , 2.87      , 57             , Yes  , No
deepseek-ai/DeepSeek-V3.2                        , novita      , cheapest        , 0.27      , 0.40       , 163840 , 2.21      , 24             , Yes  , Yes
deepseek-ai/DeepSeek-V3.2-Exp                    , novita      ,                 , 0.27      , 0.41       , 163840 , 0.73      , 34             , Yes  , Yes
dicta-il/DictaLM-3.0-24B-Thinking                , publicai    ,                 , 0.20      , 0.40       , -      , 2.19      , 61             , Yes  , Yes
google/gemma-3-27b-it                            , scaleway    ,                 , -         , -          , -      , 0.48      , 44             , Yes  , No
katanemo/Arch-Router-1.5B                        , hf-inference,                 , -         , -          , -      , 0.14      , 62             , No   , Yes
marin-community/marin-8b-instruct                , together    ,                 , 0.18      , 0.18       , 4096   , 0.18      , 176            , No   , Yes
meta-llama/Llama-3.1-70B-Instruct                , fireworks-ai,                 , -         , -          , -      , -         , -              , -    , -
meta-llama/Llama-3.1-70B-Instruct                , scaleway    ,                 , -         , -          , -      , 0.41      , 82             , Yes  , Yes
meta-llama/Llama-3.1-8B-Instruct                 , cerebras    , fastest         , 0.10      , 0.10       , -      , 0.24      , 836            , No   , No
meta-llama/Llama-3.1-8B-Instruct                 , fireworks-ai,                 , -         , -          , -      , -         , -              , -    , -
meta-llama/Llama-3.1-8B-Instruct                 , novita      , cheapest        , 0.02      , 0.05       , 16384  , 0.67      , 75             , No   , No
meta-llama/Llama-3.1-8B-Instruct                 , nscale      ,                 , 0.06      , 0.06       , 131072 , 0.86      , 59             , No   , Yes
meta-llama/Llama-3.1-8B-Instruct                 , ovhcloud    ,                 , 0.11      , 0.11       , 131072 , 0.38      , 42             , Yes  , Yes
