Model,Provider,Tags,Input $/1M,Output $/1M,Context,Latency(s),Throughput(t/s),Tools,Structured
deepseek/deepseek-r1-distill-llama-8b,,Llama3;reasoning;in:text;out:text,,,,,,no,no
deepseek/deepseek-r1-distill-qwen-1.5b,,Other;reasoning;in:text;out:text,,,131072,,,no,no
deepseek/deepseek-r1-distill-qwen-14b,,Qwen;reasoning;in:text;out:text,,,131072,,,no,no
deepseek/deepseek-r1-distill-qwen-32b,NextBit,Qwen;reasoning;in:text;out:text;variant:standard;quant:fp8,0.290000,0.290000,32768,,,no,yes
deepseek/deepseek-r1-distill-qwen-7b,,Qwen;reasoning;in:text;out:text,,,131072,,,no,no
deepseek/deepseek-r1-zero,,Other;reasoning;in:text;out:text,,,163840,,,no,no
deepseek/deepseek-v3-base,,DeepSeek;in:text;out:text,,,131072,,,no,no
deepseek/deepseek-v3.1-base,,DeepSeek;in:text;out:text,,,163840,,,no,no
deepseek/deepseek-v3.1-terminus,DeepInfra,DeepSeek;reasoning;in:text;out:text;variant:exacto;quant:fp4,0.210000,0.790000,163840,,,yes,yes
deepseek/deepseek-v3.1-terminus,DeepInfra,DeepSeek;reasoning;in:text;out:text;variant:standard;quant:fp4,0.210000,0.790000,163840,,,yes,yes
deepseek/deepseek-v3.2,Chutes,DeepSeek;reasoning;in:text;out:text;variant:standard;quant:fp8,0.250000,0.380000,163840,,,yes,yes
deepseek/deepseek-v3.2-exp,NovitaAI,DeepSeek;reasoning;in:text;out:text;variant:standard;quant:fp8,0.270000,0.410000,163840,,,yes,yes
deepseek/deepseek-v3.2-speciale,Chutes,DeepSeek;reasoning;in:text;out:text;variant:standard;quant:fp8,0.270000,0.410000,163840,,,no,yes
eleutherai/llemma_7b,Featherless,Other;in:text;out:text;variant:standard;quant:unknown,0.800000,1.200000,4096,,,no,no
essentialai/rnj-1-instruct,Together,Other;reasoning;in:text;out:text;variant:standard;quant:unknown,0.150000,0.150000,32768,,,no,yes
eva-unit-01/eva-llama-3.33-70b,,Llama3;in:text;out:text,,,16384,,,no,no
eva-unit-01/eva-qwen-2.5-14b,,Qwen;in:text;out:text,,,32768,,,no,no
eva-unit-01/eva-qwen-2.5-32b,,Qwen;in:text;out:text,,,32000,,,no,no
eva-unit-01/eva-qwen-2.5-72b,,Qwen;in:text;out:text,,,32000,,,no,no
featherless/qwerky-72b,,Other;in:text;out:text,,,32768,,,no,no
fireworks/firellava-13b,,"Llama2;in:text,image;out:text",,,4096,,,no,no
google/gemini-2.0-flash-001,Google AI Studio,"Gemini;in:text,image,file,audio,video;out:text;variant:standard;quant:unknown",0.100000,0.400000,1048576,,,yes,yes
google/gemini-2.0-flash-exp,,"Gemini;in:text,image;out:text",,,1048576,,,no,no
google/gemini-2.0-flash-lite-001,Google Vertex,"Gemini;in:text,image,file,audio,video;out:text;variant:standard;quant:unknown",0.075000,0.300000,1048576,,,yes,yes
google/gemini-2.5-flash,Google Vertex (Global),"Gemini;reasoning;in:file,image,text,audio,video;out:text;variant:standard;quant:unknown",0.300000,2.500000,1048576,,,yes,yes
google/gemini-2.5-flash-image,Google AI Studio,"Gemini;in:image,text;out:image,text;variant:standard;quant:unknown",0.300000,2.500000,32768,,,no,yes
google/gemini-2.5-flash-image-preview,,"Gemini;in:image,text;out:image,text",,,32768,,,no,no
google/gemini-2.5-flash-lite,Google Vertex,"Gemini;reasoning;in:text,image,file,audio,video;out:text;variant:standard;quant:unknown",0.100000,0.400000,1048576,,,yes,yes
google/gemini-2.5-flash-lite-preview-09-2025,Google Vertex,"Gemini;reasoning;in:text,image,file,audio,video;out:text;variant:standard;quant:unknown",0.100000,0.400000,1048576,,,yes,yes
google/gemini-2.5-flash-preview-09-2025,Google AI Studio,"Gemini;reasoning;in:image,file,text,audio,video;out:text;variant:standard;quant:unknown",0.300000,2.500000,1048576,,,yes,yes
google/gemini-2.5-pro,Google Vertex (Global),"Gemini;reasoning;in:text,image,file,audio,video;out:text;variant:standard;quant:unknown",1.250000,10.000000,1048576,,,yes,yes
google/gemini-2.5-pro-exp-03-25,,"Gemini;in:text,image,file;out:text",,,1048576,,,no,no
google/gemini-2.5-pro-preview,Google Vertex,"Gemini;reasoning;in:file,image,text,audio;out:text;variant:standard;quant:unknown",1.250000,10.000000,1048576,,,yes,yes
google/gemini-2.5-pro-preview-05-06,Google Vertex,"Gemini;reasoning;in:text,image,file,audio,video;out:text;variant:standard;quant:unknown",1.250000,10.000000,1048576,,,yes,yes
google/gemini-3-flash-preview,Google Vertex,"Gemini;reasoning;in:text,image,file,audio,video;out:text;variant:standard;quant:unknown",0.500000,3.000000,1048576,,,yes,yes
google/gemini-3-pro-image-preview,Google AI Studio,"Gemini;reasoning;in:image,text;out:image,text;variant:standard;quant:unknown",2.000000,12.000000,65536,,,no,yes
google/gemini-3-pro-preview,Google Vertex,"Gemini;reasoning;in:text,image,file,audio,video;out:text;variant:standard;quant:unknown",2.000000,12.000000,1048576,,,yes,yes
google/gemini-embedding-001,Google AI Studio,Gemini;in:text;out:embeddings;variant:standard;quant:unknown,0.150000,0.000000,20000,,,no,yes
google/gemini-exp-1114,,"Gemini;in:text,image;out:text",,,40960,,,no,no
google/gemini-exp-1121,,"Gemini;in:text,image;out:text",,,40960,,,no,no
google/gemini-flash-1.5,,"Gemini;in:text,image;out:text",,,1000000,,,no,no
google/gemini-flash-1.5-8b,,"Gemini;in:text,image;out:text",,,1000000,,,no,no
google/gemini-flash-1.5-exp,,"Gemini;in:text,image;out:text",,,1000000,,,no,no
google/gemini-pro-1.5,,"Gemini;in:text,image;out:text",,,2000000,,,no,no
google/gemini-pro-1.5-exp,,"Gemini;in:text,image;out:text",,,1000000,,,no,no
google/gemma-2-27b-it,NextBit,Gemini;in:text;out:text;variant:standard;quant:int4,0.650000,0.650000,8192,,,no,yes
google/gemma-2-9b-it,Nebius AI Studio (Fast),Gemini;in:text;out:text;variant:standard;quant:fp8,0.030000,0.090000,8192,,,no,no
google/gemma-2b-it,,Gemini;in:text;out:text,,,8192,,,no,no
google/gemma-3-12b-it,Chutes,"Gemini;in:text,image;out:text;variant:standard;quant:bf16",0.030000,0.100000,131072,,,no,yes
google/gemma-3-12b-it,Google AI Studio,"Gemini;in:text,image;out:text;variant:free;quant:unknown",0.000000,0.000000,32768,,,no,no
google/gemma-3-1b-it,,"Gemini;in:text,image;out:text",,,32000,,,no,no
google/gemma-3-27b-it,Chutes,"Gemini;in:text,image;out:text;variant:standard;quant:bf16",0.040000,0.150000,128000,,,yes,yes
google/gemma-3-27b-it,Google AI Studio,"Gemini;in:text,image;out:text;variant:free;quant:unknown",0.000000,0.000000,131072,,,no,yes
google/gemma-3-4b-it,Chutes,"Gemini;in:text,image;out:text;variant:standard;quant:unknown",0.017030,0.068154,96000,,,no,no
google/gemma-3-4b-it,Google AI Studio,"Gemini;in:text,image;out:text;variant:free;quant:unknown",0.000000,0.000000,32768,,,no,yes
google/gemma-3n-e2b-it,Google AI Studio,Other;in:text;out:text;variant:free;quant:unknown,0.000000,0.000000,8192,,,no,yes
google/gemma-3n-e4b-it,Google AI Studio,Other;in:text;out:text;variant:free;quant:unknown,0.000000,0.000000,8192,,,no,yes
google/gemma-3n-e4b-it,Together,Other;in:text;out:text;variant:standard;quant:unknown,0.020000,0.040000,32768,,,no,no
google/gemma-7b-it,,Gemini;in:text;out:text,,,8192,,,no,no
google/palm-2-chat-bison,,PaLM;in:text;out:text,,,9216,,,no,no
google/palm-2-chat-bison-32k,,PaLM;in:text;out:text,,,32760,,,no,no
google/palm-2-codechat-bison,,PaLM;in:text;out:text,,,7168,,,no,no
google/palm-2-codechat-bison-32k,,PaLM;in:text;out:text,,,32760,,,no,no
gryphe/mythomax-l2-13b,NextBit,Llama2;in:text;out:text;variant:standard;quant:int4,0.060000,0.060000,4096,,,no,yes
gryphe/mythomist-7b,,Mistral;in:text;out:text,,,32768,,,no,no
huggingfaceh4/zephyr-7b-beta,,Mistral;in:text;out:text,,,4096,,,no,no
huggingfaceh4/zephyr-orpo-141b-a35b,,Mistral;in:text;out:text,,,65536,,,no,no
ibm-granite/granite-4.0-h-micro,Cloudflare,Other;in:text;out:text;variant:standard;quant:unknown,0.017000,0.110000,131000,,,no,no
inception/mercury,Inception,Other;in:text;out:text;variant:standard;quant:unknown,0.250000,1.000000,128000,,,yes,yes
inception/mercury-coder,Inception,Other;in:text;out:text;variant:standard;quant:unknown,0.250000,1.000000,128000,,,yes,yes
infermatic/mn-inferor-12b,,Mistral;in:text;out:text,,,32000,,,no,no
inflatebot/mn-mag-mell-r1,,Mistral;in:text;out:text,,,32000,,,no,no
inflection/inflection-3-pi,Inflection,Other;in:text;out:text;variant:standard;quant:unknown,2.500000,10.000000,8000,,,no,no
inflection/inflection-3-productivity,Inflection,Other;in:text;out:text;variant:standard;quant:unknown,2.500000,10.000000,8000,,,no,no
intel/neural-chat-7b,,Mistral;in:text;out:text,,,4096,,,no,no
intfloat/e5-base-v2,DeepInfra,Other;in:text;out:embeddings;variant:standard;quant:unknown,0.005000,0.000000,512,,,no,yes
intfloat/e5-large-v2,DeepInfra,Other;in:text;out:embeddings;variant:standard;quant:unknown,0.010000,0.000000,512,,,no,yes
intfloat/multilingual-e5-large,DeepInfra,Other;in:text;out:embeddings;variant:standard;quant:fp32,0.010000,0.000000,512,,,no,yes
jebcarter/psyfighter-13b,,Llama2;in:text;out:text,,,4096,,,no,no
jondurbin/airoboros-l2-70b,,Llama2;in:text;out:text,,,4096,,,no,no
jondurbin/bagel-34b,,Yi;in:text;out:text,,,200000,,,no,no
koboldai/psyfighter-13b-2,,Llama2;in:text;out:text,,,4096,,,no,no
kwaipilot/kat-coder-pro,AtlasCloud,Other;in:text;out:text;variant:standard;quant:fp16,0.207000,0.828000,256000,,,yes,yes
latitudegames/wayfarer-large-70b-llama-3.3,,Llama3;in:text;out:text,,,128000,,,no,no
